"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
62397,15562,22413,39061,23336,8.27996e+12,58.0998,25873.8,62397,10916,72,39984,39984,34554,27174,25475
43844,2998,14216,27725,16119,8.74057e+12,58.2977,16915.8,43844,6919,72,29628,29628,14990,7902,4951
62460,7930,19796,39581,22879,8.82157e+12,58.7594,23448.4,62460,9632,72,42664,42664,31750,21133,18195
93783,15907,42449,57177,36606,7.06486e+12,56.4147,46718.5,93783,20658,72,51334,51334,40301,30090,27234
19522,2537,4590,12663,6859,9.87389e+12,59.836,6149.88,19522,2222,72,14932,14932,12440,11871,8370
23882,9137,9480,14794,9088,7.80938e+12,56.2906,10996.4,23882,4613,72,14402,14402,14083,13714,13917
21330,2198,21330,0,21330,7.99962,0,21330,21330,21330,1,0,0,0,0,0
25278,1136,7944,16039,9239,8.8718e+12,58.6552,9697.19,25278,3861,72,17334,17296,10766,3524,2843
93571,11783,21704,60684,32887,9.9188e+12,60.1449,27388.7,93571,10567,72,71867,71867,59853,43430,39533
3414,716,846,2216,1198,9.9366e+12,58.3322,1260.41,3414,409,63,2568,2568,2428,2322,2325
34295,9803,11337,21642,12653,8.65809e+12,58.4904,13533.5,34295,5522,72,22958,22958,21513,19495,19254
94896,21524,29273,60271,34625,8.93075e+12,58.9052,34532.8,94896,14242,72,65623,65623,59816,51925,50099
24035,5720,6579,15424,8611,9.37801e+12,59.2743,8342.47,24035,3192,72,17456,17456,16336,16299,15132
47820,13035,23237,28865,18955,6.65443e+12,55.5646,25557.2,47820,11314,72,24583,24583,21150,20170,15513
86462,7758,20736,55948,30514,9.81994e+12,60.0224,26001.6,86462,10102,72,65726,65726,44061,28598,24543
5552,698,2598,3381,2171,7.03018e+12,55.5418,3057.73,5552,1256,71,2954,2858,2037,2005,1227
91402,17341,42983,55438,35964,6.83892e+12,56.0286,47047.7,91402,20917,72,48419,48419,39773,30293,27857
11729,5091,5309,7157,4572,7.11552e+12,52.373,6129.13,11729,2564,72,6420,6420,6420,6420,6420
31231,6109,11571,19494,11737,8.16194e+12,57.8343,13505.5,31231,5637,72,19660,19660,15830,11947,11377
73559,17326,35254,44500,29059,6.73787e+12,56.2052,38589.6,73559,17175,72,38305,38305,30349,19393,16983
75471,14862,17517,48941,26530,9.91478e+12,60.1252,22247.8,75471,8527,72,57954,57954,54037,53968,49355
